instance_name,instance_size,solver,total_distance,total_time,num_vehicles,feasible_solution
cvrp-0-rj-107,3718,kmeans_greedy,5652.3131,24.197127213003114,116,True
cvrp-0-rj-100,4223,kmeans_greedy,6357.155,27.815145773114637,130,True
cvrp-0-rj-108,3872,kmeans_greedy,5890.6246,25.49876791308634,119,True
cvrp-0-rj-106,4211,kmeans_greedy,6156.4504,27.383545374963433,129,True
cvrp-0-rj-90,4273,kmeans_greedy,6531.9272,28.51927938289009,132,True
cvrp-0-rj-92,4436,kmeans_greedy,6733.1736,29.171545882942155,138,True
cvrp-0-rj-99,4642,kmeans_greedy,6880.5664,30.89411538094282,143,True
cvrp-0-rj-117,4486,kmeans_greedy,6636.0362,29.617736900923774,140,True
cvrp-0-rj-104,3440,kmeans_greedy,5335.7542,22.417066877009347,107,True
cvrp-0-rj-118,4617,kmeans_greedy,6950.3127,30.639971939846873,146,True
cvrp-0-rj-98,4350,kmeans_greedy,6556.405,28.2066179739777,138,True
cvrp-0-rj-109,4005,kmeans_greedy,5927.0697,26.114877938991413,126,True
cvrp-0-rj-119,4126,kmeans_greedy,6144.1172,111.968215262983,129,True
cvrp-0-rj-101,3564,kmeans_greedy,5579.9088,23.057454083114862,111,True
cvrp-0-rj-112,4179,kmeans_greedy,6299.0999,27.333980387076735,129,True
cvrp-0-rj-91,4493,kmeans_greedy,6694.0105,29.866491723107174,140,True
cvrp-0-rj-110,3641,kmeans_greedy,5623.0425,23.752871310105547,116,True
cvrp-0-rj-113,4691,kmeans_greedy,6923.9127,31.278678189963102,145,True
cvrp-0-rj-114,4497,kmeans_greedy,6807.3746,29.86194282420911,139,True
cvrp-0-rj-116,3886,qrp_sweep,5504.5465,24.663305955938995,132,True
cvrp-0-rj-96,4234,qrp_sweep,5669.1817,26.60978579404764,144,True
cvrp-0-rj-95,3486,qrp_sweep,5018.3739,22.111781926825643,121,True
cvrp-0-rj-115,4571,qrp_sweep,6209.1823,28.607119282940403,152,True
cvrp-0-rj-105,4643,qrp_sweep,6042.2739,28.579302839003503,152,True
cvrp-0-rj-103,4666,qrp_sweep,6305.1024,30.341694806003943,157,True
cvrp-0-rj-102,3725,qrp_sweep,5102.7003,22.893375026993454,124,True
cvrp-0-rj-97,3601,qrp_sweep,5041.191,23.006865953095257,123,True
cvrp-0-rj-93,4359,qrp_sweep,5929.8339,27.50586997414939,143,True
cvrp-0-rj-94,4046,qrp_sweep,5575.5071,25.709579155081883,138,True
cvrp-0-rj-111,4428,qrp_sweep,6122.365,27.266763143008575,147,True
cvrp-0-rj-107,3718,qrp_sweep,5224.4533,23.272919463925064,125,True
cvrp-0-rj-100,4223,qrp_sweep,5734.5349,26.425925482995808,141,True
cvrp-0-rj-108,3872,qrp_sweep,5508.5827,24.363897633971646,132,True
cvrp-0-rj-106,4211,qrp_sweep,5756.657,26.830771032953635,140,True
cvrp-0-rj-90,4273,qrp_sweep,5853.4836,27.36855528014712,143,True
cvrp-0-rj-92,4436,qrp_sweep,6258.1254,28.335263608954847,149,True
cvrp-0-rj-99,4642,qrp_sweep,6222.5664,30.600251734023914,156,True
cvrp-0-rj-117,4486,qrp_sweep,6036.3763,27.861818288918585,150,True
cvrp-0-rj-104,3440,qrp_sweep,4905.382,21.695134765002877,118,True
cvrp-0-rj-118,4617,qrp_sweep,6355.8607,29.538002663990483,159,True
cvrp-0-rj-98,4350,qrp_sweep,6076.2515,27.241486357990652,148,True
cvrp-0-rj-109,4005,qrp_sweep,5333.5138,25.020499204983935,133,True
cvrp-0-rj-119,4126,qrp_sweep,5694.4666,25.92379984096624,140,True
